report_date,total_redeem_amt,tftobal_amt,category1,category2,category3,category4,card0,card1,card2,card3,card4,card5,card6,card7,card8,card9,card10,card11
20130701,24767334,22254658,0,41960,0,2470716,0,0,0,0,0,0,0,0,0,0,0,0
20130702,8390811,6355534,0,28850,0,2006427,0,0,0,0,0,0,0,0,0,0,0,0
20130703,17245549,15985392,0,67918,0,1192239,0,0,0,0,0,0,0,0,0,0,0,0
20130704,16859653,13961714,460196,314701,0,2123042,0,0,0,0,0,0,0,0,0,0,0,0
20130705,11369171,9721614,2800,537800,0,1106957,0,0,0,0,0,0,0,0,0,0,0,0
20130706,14851205,12731069,203540,671658,0,1244938,0,0,0,0,0,0,0,0,0,0,0,0
20130707,8760751,6023698,911420,439004,0,1386629,0,0,0,0,0,0,0,0,0,0,0,0
20130708,12800183,10556948,361172,357301,0,1524762,0,0,0,0,0,0,0,0,0,0,0,0
20130709,37743853,33989427,403341,2036935,0,1314150,0,0,0,0,0,0,0,0,0,0,0,0
20130710,15388462,8194014,5520949,279600,0,1393899,0,0,0,0,0,0,0,0,0,0,0,0
20130711,19733522,16853561,1085590,289612,0,1504759,0,0,0,0,0,0,0,0,0,0,0,0
20130712,26665085,21925007,905530,1957929,0,1876619,0,0,0,0,0,0,0,0,0,0,0,0
20130713,84800004,82463357,246100,430500,0,1660047,0,0,0,0,0,0,0,0,0,0,0,0
20130714,20069420,17824148,557054,207100,0,1481118,0,0,0,0,0,0,0,0,0,0,0,0
20130715,25684639,22589786,1188070,412707,0,1494076,0,0,0,0,0,0,0,0,0,0,0,0
20130716,49928436,44741742,1169712,37165,0,3979817,0,0,0,0,0,0,0,0,0,0,0,0
20130717,73168887,69138518,1794095,198068,0,2038206,0,0,0,0,0,0,0,0,0,0,0,0
20130718,26261821,23214534,1113116,239528,0,1694643,0,0,0,0,0,0,0,0,0,0,0,0
20130719,29356947,26154702,964427,194760,0,2043058,0,0,0,0,0,0,0,0,0,0,0,0
20130720,23290369,21514427,294904,373450,0,1107588,0,0,0,0,0,0,0,0,0,0,0,0
20130721,33292242,30565974,140991,497991,0,2087286,0,0,0,0,0,0,0,0,0,0,0,0
20130722,35389055,30314372,1872040,790238,0,2412405,0,0,0,0,0,0,0,0,0,0,0,0
20130723,43940831,37072191,3729560,533683,0,2605397,0,0,0,0,0,0,0,0,0,0,0,0
20130724,61442476,47670517,8266400,2707208,0,2798351,0,0,0,0,0,0,0,0,0,0,0,0
20130725,58899083,53154509,2519203,1141128,0,2084243,0,0,0,0,0,0,0,0,0,0,0,0
20130726,48620749,44719032,1574273,118850,0,2208594,0,0,0,0,0,0,0,0,0,0,0,0
20130727,24896377,14856895,1377185,6755442,0,1906855,0,0,0,0,0,0,0,0,0,0,0,0
20130728,23659320,19844371,1218004,193657,0,2403288,0,0,0,0,0,0,0,0,0,0,0,0
20130729,63686082,55546134,1464508,3612958,0,3062482,0,0,0,0,0,0,0,0,0,0,0,0
20130730,36409379,31584803,1156531,1059361,0,2608684,0,0,0,0,0,0,0,0,0,0,0,0
20130731,52948901,43496711,4263199,607440,0,4581551,0,0,0,0,0,0,0,0,0,0,0,0
20130801,58373937,53013098,1959214,512881,0,2888744,0,0,0,0,0,0,0,0,0,0,0,0
20130802,77362022,71285934,2592184,54200,0,3429704,0,0,0,0,0,0,0,0,0,0,0,0
20130803,27534149,23376710,1278800,229883,0,2648756,0,0,0,0,0,0,0,0,0,0,0,0
20130804,23534786,18284951,1009099,616881,0,3623855,0,0,0,0,0,0,0,0,0,0,0,0
20130805,58290152,53163437,980076,989809,0,3156830,0,0,0,0,0,0,0,0,0,0,0,0
20130806,66530666,56075309,5481998,1359673,0,3613686,0,0,0,0,0,0,0,0,0,0,0,0
20130807,63681100,54560641,5904317,591586,0,2624556,0,0,0,0,0,0,0,0,0,0,0,0
20130808,59557488,51603141,2784311,1917753,0,3252283,0,0,0,0,0,0,0,0,0,0,0,0
20130809,78883527,68001049,6476286,1217220,0,3188972,0,0,0,0,0,0,0,0,0,0,0,0
20130810,62615121,57965691,1570231,892341,0,2186858,0,0,0,0,0,0,0,0,0,0,0,0
20130811,41375294,36188789,2381458,962299,0,1842748,0,0,0,0,0,0,0,0,0,0,0,0
20130812,94186916,86674389,2052911,1010912,0,4448704,0,0,0,0,0,0,0,0,0,0,0,0
20130813,79558932,73639333,1828607,1374274,0,2716718,0,0,0,0,0,0,0,0,0,0,0,0
20130814,56018171,50887940,1953697,678113,0,2498421,0,0,0,0,0,0,0,0,0,0,0,0
20130815,123075191,116682973,3096824,962611,0,2332783,0,0,0,0,0,0,0,0,0,0,0,0
20130816,55143603,51188003,726486,576523,0,2652591,0,0,0,0,0,0,0,0,0,0,0,0
20130817,30284740,26381437,479646,618572,0,2805085,0,0,0,0,0,0,0,0,0,0,0,0
20130818,66925527,45314779,1480444,5341962,0,2590101,0,0,0,5028262,5952481,980762,0,0,0,225499,11237,0
20130819,75437301,57618402,4191725,504160,0,3615896,0,0,0,5101975,195164,5711,995827,1050016,0,1905060,245555,7810
20130820,54085868,45107613,1694116,2053827,0,3629889,0,0,0,0,0,512222,1976,0,0,668299,89770,328156
20130821,63953557,45083443,3536266,1277695,0,3658163,0,1979695,0,1953986,3466445,1291923,0,980280,0,612749,110440,2472
20130822,77562736,44866641,8104045,2026803,0,3480410,0,981566,0,3277,4232364,10101456,100698,405819,1173042,426798,1197597,462220
20130823,76867637,36950469,4816221,1603311,0,3211605,0,4461203,4982343,10103579,6469213,1362628,932384,538009,105538,382747,489199,459188
20130824,39106878,20758390,3768536,498938,0,2779782,0,0,210220,0,2590084,755899,1739145,4429389,10044,652245,884648,29558
20130825,60953902,30183609,3075735,777325,0,2620694,0,11580601,0,0,3057291,3458927,4243676,0,629895,596911,293905,435333
20130826,74101528,33524894,4463025,998720,0,2755920,0,11439329,1563891,2010022,531722,3773144,10044355,846060,8,700892,509959,939587
20130827,97844573,47884022,4945695,1057900,0,4468287,0,4089534,19056097,1023299,6788610,2815974,2249060,2045,773420,1976839,436977,276814
20130828,135996224,88488237,9341916,1351527,0,3870014,0,7015957,5093664,3178347,1013412,797770,10511565,1518870,436341,2287041,418303,673260
20130829,125670911,59146266,5166652,937304,0,2626116,0,35498196,686346,3042124,3522585,6105105,7293309,361953,78904,0,899281,306770
20130830,51062888,28024312,2814484,3900962,0,2692335,0,1096335,0,2656089,1370035,4299764,1194483,63561,515002,1720094,545346,170086
20130831,69778442,46663780,4331436,2572483,0,3021486,0,1201503,203952,0,100507,7049222,1695964,281731,356927,574940,855243,869268
20130901,60517475,17303051,5180168,476713,0,2622509,0,5943217,1711335,0,5473707,2068075,14559487,1339993,897165,1304533,1169792,467730
20130902,91198734,21538712,7537784,6521695,0,3685243,0,35708752,404468,493,3147576,4026864,1641159,2876946,1593262,893194,504595,1117991
20130903,122225143,66507281,4709761,1375934,0,5066574,0,9981804,4951995,709417,14158510,2509413,5637433,1509383,102694,2502326,1706639,795979
20130904,86735957,27184342,2902711,2913212,0,4800886,0,24867997,0,2010730,2973954,8765870,4424246,618577,2262220,1978456,670744,362012
20130905,92642988,34267589,5171539,2306940,0,6310872,0,17478135,8014287,989,6143224,2061054,5942272,297787,977933,2211469,518262,940636
20130906,123656533,61198746,5549412,10663759,0,5248160,0,7936984,20241989,0,2464873,2880405,3028405,1808847,0,966000,940895,728058
20130907,67680268,18735171,4610850,1322198,0,4493567,0,11629548,8304905,0,5714973,2097846,4750202,920174,1441550,2644560,459107,555617
20130908,69390347,28821416,11165577,973722,0,4653775,0,6344237,0,1191214,1599441,2965204,6281185,92981,1714421,947310,1792317,847547
20130909,136495298,43906785,3169303,4432425,0,5067101,0,58786221,716071,6845178,5177470,824550,3896085,181953,1530941,1060299,501695,399221
20130910,76701172,22723950,7131837,1425277,0,5662247,0,13401639,1117586,99062,3211269,4032107,12163357,1181981,1149733,1236035,1585148,579944
20130911,125767391,50464735,4799747,1672439,0,3795197,0,39993111,1023074,2651332,4330819,3069928,2946295,1597861,5678440,1569735,1397808,776870
20130912,74065347,22046743,4129785,1867236,0,4746368,0,14497867,99903,100132,14795555,1836114,1601878,4317668,497827,1201520,725243,1601508
20130913,86518711,37967618,4191996,2524892,0,4646700,0,7892997,6912197,2048235,3321560,2939489,5773626,636204,4028983,975419,1847189,811606
20130914,81650516,29276721,6553545,572849,0,3903354,0,11084085,0,383185,15348010,2763142,6779880,1569159,1050628,879422,456820,1029716
20130915,89897356,20445301,5204873,4001409,0,3707937,0,34502153,332788,1158933,3442309,4568389,4177989,0,5189082,535590,1815185,815418
20130916,119170200,40832758,2172128,1336842,0,4590017,0,34027531,0,5091169,6661225,4924249,10184995,2966712,1545225,1176750,2540624,1119975
20130917,122576821,30073707,4492342,1860516,0,4511238,0,32411986,200763,10552816,16994368,2701396,10419259,3304812,1259455,368101,2840482,585580
20130918,83937362,31439597,9358737,1331269,0,5715454,0,5040,12699821,947024,6394745,4111610,5613325,1024257,1736635,1293798,1703367,562683
20130919,43825708,15472520,4863994,1210326,0,3166569,0,5035373,0,7073666,827606,1788520,642965,0,1295067,651416,1381618,416068
20130920,81984912,26466121,6249425,568403,0,4121971,0,22144640,0,3578345,8174039,1075161,2883062,975742,1199630,804084,3061210,683079
20130921,46779684,14665661,6457467,997566,0,3298630,0,9064905,450484,0,299905,454509,5810935,1388962,451599,881443,1709123,848495
20130922,79473437,25228398,6791360,1324500,0,6082340,0,4471510,8579187,3721191,7446453,3082,7676149,939145,1490384,2792134,1665020,1262584
20130923,130343715,48781386,10455356,2181962,0,6030537,0,29651190,1965817,4155306,4156867,7781607,6787531,1800427,1250793,2728338,1723732,892866
20130924,118672801,29538399,6185946,3489645,0,6493044,0,29971988,6724349,5060489,8103289,6333468,9367575,2562790,677692,1684281,1332871,1146975
20130925,87985246,26181827,16979079,2334652,0,4799999,0,2597988,0,19564,8739183,7484528,11808337,614818,989159,1039457,3677651,719004
20130926,165630996,63493126,9667966,2075577,0,6436332,0,20091173,6187169,2375486,18118522,5173322,17913382,5718162,2098754,2789566,2437238,1055221
20130927,147195638,52867015,11549204,1526307,0,3505662,0,23676694,9109918,12298664,11748169,6872154,3462052,675855,1829845,5535578,1951198,587323
20130928,121747170,40588821,13785010,1311867,0,4874010,0,16809462,7426323,10290693,5220494,4865207,6903720,1900745,1901865,1685857,2460501,1722595
20130929,155657758,50520282,10082224,1380490,0,5596740,0,20798681,7234044,7100636,10272602,19315660,9646168,145911,4691335,1614837,6272347,985801
20130930,153121672,58737306,10528905,4363373,0,5176974,0,25516757,1192557,5508024,12043525,4379768,6726035,6049974,7372408,2922222,1314981,1288863
20131001,37266451,8869714,9551143,1151911,0,3178919,0,13484,0,0,294551,2598969,2189939,4707087,1734442,1268107,1238741,469444
20131002,41385235,14244817,6762898,449556,0,3550629,0,1260333,98615,104867,888788,2931480,5124428,1569526,872918,2149938,1181739,194703
20131003,41815760,7569156,9270948,2534247,0,3129061,0,13477,5092489,1032854,2019551,1107169,5031755,1570192,1063666,490668,1143416,747111
20131004,59421575,28937801,4235895,2413720,0,4135877,0,5066219,30135,1958792,0,5656114,4220898,98526,1225713,663774,195536,582575
20131005,52955183,16792822,3034537,1715893,0,3468579,0,12998,2516791,15025277,621300,4113316,1484945,1589606,555781,1344049,279595,399694
20131006,55905545,17674723,7256633,1518216,0,3516822,0,10642772,0,2951628,4574148,886406,2955172,952263,741097,188749,932121,1114795
20131007,112293466,40208141,12715486,1638133,0,5099135,0,32113038,2877262,36284,3309802,742007,4766165,5129671,281719,1820319,1117392,438912
20131008,266199594,114984442,14544145,4701929,0,6989873,0,24895882,4977849,35447166,19357439,9158442,24535277,1128122,2895651,1341434,708043,533900
20131009,178720604,45108871,7281013,4461007,0,5306162,0,44713789,4997640,28283491,8251105,9312453,12841579,3443602,1092326,1250109,1292670,1084787
20131010,160633808,76492163,5168650,1018032,0,6724453,0,33734181,695146,1967979,4806780,3478203,14727549,2769789,1253625,3505319,2562051,1729888
20131011,137499465,55910477,4890574,5253764,0,6129846,0,31089145,0,7455578,4376872,5924477,9507692,3336593,551485,2056653,255942,760367
20131012,99032942,36038062,12808208,1617995,0,5658569,0,23642967,0,344577,4862077,2517327,6407926,1444711,552558,1194623,960972,982370
20131013,79106025,26373865,10752227,11505493,0,5105336,0,3075526,0,490714,5914431,5885311,2414481,2526488,0,1916721,1539407,1606025
20131014,115526310,37710921,5621362,4173216,0,5552582,0,29715233,98124,11881658,4536049,5476343,5464638,1798979,517083,348333,1533329,1098460
20131015,220553101,70488703,6794658,4731661,0,8320333,0,59533976,12239085,5480823,13313743,13896254,12301127,2375192,7132248,2004340,1002732,938226
20131016,112486400,35259295,5244318,4352451,0,6426006,0,11627154,12155307,3154644,10792519,10278012,5255041,4789243,428801,1047708,618159,1057742
20131017,136312442,48986139,6438890,2050393,0,4789127,0,21254370,5945619,9600072,8913931,11681560,12570934,596648,61334,1808589,723288,891548
20131018,198430712,69274336,8608000,8318932,0,6666333,0,67899476,839590,5051702,7288493,6292284,10261541,3904586,270709,1365194,1529782,859754
20131019,75667615,37882331,3282308,2274933,0,5409028,0,8213385,0,0,2975666,2631506,4322388,487070,4459155,1168411,1493441,1067993
20131020,98691539,29302295,10607987,3423486,0,6380877,0,16998585,4682248,986870,2237746,12950687,5204325,1497097,540289,1299479,1897906,681662
20131021,176772897,79332306,11187083,5668574,0,5868007,0,14656176,1313110,4661591,10844917,15937765,17463825,3555939,850812,2008656,2501240,922896
20131022,115555821,36233480,7578898,3310954,0,8046201,0,14312895,100511,4892591,6213857,8465263,13643872,696279,2990874,3528242,2736317,2805587
20131023,242119411,54113083,13943200,3007565,0,7769587,0,103920354,10070,27938099,5620730,5306793,10506840,1755688,2892829,2734083,1384287,1216203
20131024,250629861,67942330,18272044,2863280,0,7667668,0,105868720,4985267,16257407,7286133,2417223,9350773,1215583,3035802,1000479,1239927,1227225
20131025,154720122,51286554,22981724,5516836,0,6895412,0,18145752,10069212,3473883,2205286,1836767,17061350,3174506,6302572,2143893,2807887,818488
20131026,100175814,29327262,8766793,6483087,0,8061358,0,8676722,5094629,7589295,4612976,3910542,8174615,1292441,4252584,1258423,1927306,747781
20131027,93812641,31524613,4256090,3000554,0,7004054,0,8805460,0,30166,10021672,7318923,15582195,920411,1991761,1171012,1321153,864577
20131028,304909399,111643697,24127816,2497591,0,7979476,0,56323011,19895427,6645183,17076712,23072779,13958970,12707270,4331471,1032557,2134764,1482675
20131029,183392536,45641905,11279038,11308337,0,9468034,0,19335637,10642362,13160971,23887034,1340075,20857356,3334425,5290204,2700110,3345368,1801680
20131030,285029470,113767220,9336781,2879781,0,5677102,0,84539632,12790800,2856330,22633432,5774158,9777350,2113716,6661049,2096846,2972496,1152777
20131031,233329146,68151394,13625433,3593338,0,7901883,0,38949886,8990983,39716697,15352248,11946286,11324215,5791922,2300994,2337301,2137420,1209146
20131101,195156241,83339457,13048609,3675053,0,10036228,0,15884816,8628358,1540955,10809297,20745205,14782368,1580860,3170807,3679801,2914229,1320198
20131102,146685365,23554039,21099150,5976256,0,8100774,0,36859101,4910218,4579797,6735124,2873725,18396104,1021171,6453347,1671943,2910116,1544500
20131103,153014854,57260011,9129757,973270,0,5419398,0,20981223,3869529,5476942,13537531,18804668,8431463,518742,2899671,1254308,1533287,2925054
20131104,212865431,49794575,19755199,11633055,0,8079985,0,64131186,5032495,6576923,4603643,11938671,16240524,1714804,3703485,3096190,5105899,1458797
20131105,295042276,78196123,22630449,21740253,0,12087247,0,20566224,5547688,45070851,14558585,11454808,12953621,7672901,6660210,13222426,16637196,6043694
20131106,246339472,59517462,20521321,7772714,0,10623915,0,11477480,4560394,21552745,11883526,21208458,18895645,11060620,10769013,12772630,17048330,6675219
20131107,353923933,73776170,30496328,6155182,0,13040003,0,52396715,5159225,6929596,16375779,43832564,27091492,12548169,12904132,20372446,23495370,9350762
20131108,281104864,92660707,17990203,5664288,0,15646483,0,42555073,4057274,13533851,3119059,18367885,21705725,1743077,7728504,11584803,17157117,7590815
20131109,254082691,85976964,19597879,6801673,0,14316887,0,19884225,10613641,22479926,8305299,11211651,23551003,4321058,5236922,6765112,9072847,5947604
20131110,228942339,76167446,20064051,5842274,0,22935602,0,23749167,3186407,462137,13442149,14248430,17268781,2300828,8752835,5761788,7789303,6971141
20131111,757315547,106823791,22385566,12635898,86534212,315059194,0,110781833,19634969,1854910,11414347,28291342,20245886,2637545,9518154,2023122,4377533,3097245
20131112,257683408,69571935,27403884,5238527,1000000,17010670,0,68809007,8554757,13399425,16105215,9427430,7649712,2555155,2455027,3979912,2504270,2018482
20131113,200822069,47071816,13078859,4365472,14000000,17046962,0,22693024,0,13182151,15577470,19932271,20647847,1479223,2928853,4170867,3459760,1187494
20131114,241049256,82527255,10781595,4497379,0,11372011,0,32723078,8738053,13059266,20668157,35003052,6384759,7154704,2254029,2217588,1695152,1973178
20131115,186805206,57824515,10234402,7866338,0,10809054,0,30353221,5249462,22502783,4386539,9946402,13716463,5564694,985242,3323079,2051717,1991295
20131116,174547895,58553481,14749240,7035939,2000000,9867192,0,43184057,0,100757,840958,16303711,5433181,7930448,2479460,1878324,2000271,2190876
20131117,309900510,149100606,9802172,3062675,100000,9948829,0,56317388,308737,102460,32875221,31737321,5328903,543652,3466565,3097568,3027485,1080928
20131118,363110714,134830174,14791499,12540657,0,11181254,0,84902754,494,12674906,18455847,24687786,29331044,5951271,2852583,5023888,2858765,3027792
20131119,323044688,89882382,14773346,12296383,0,15027962,0,95825029,498232,10946965,35353277,10666248,15453318,4453621,7057919,4725816,4168868,1915322
20131120,297285344,68152936,19858223,17272044,0,20629559,0,59281435,5133087,14747966,31166635,30512697,15581341,3399747,3616431,2478992,2266445,3187806
20131121,227348372,48665467,21152795,11952089,0,10414481,0,53750117,9611496,8752109,19312779,9292531,15507167,7117751,5123696,2067791,2480293,2147810
20131122,303996866,95958684,27091829,11743743,0,10421196,0,39741205,1333443,22508472,40142073,12308638,20094336,7693667,4914201,4492051,2966656,2586672
20131123,190323930,38773534,23395053,6221568,0,12019100,0,51861627,1725199,3708355,948413,25283478,13461741,2202155,2451723,3893001,2748254,1630729
20131124,168729425,32238942,35803516,6012795,0,14876621,0,16387590,7394890,3316419,10579709,12224178,19366017,2259701,1941167,2847013,1907850,1573017
20131125,302085449,95845720,36588077,5460344,0,12405246,0,30858582,1109348,16539274,21131610,29519098,30449547,2363876,6837417,5754812,5379032,1843466
20131126,248573588,59327165,24495987,5103866,100000,18615845,0,54280067,4995293,18861589,12502627,14056778,18346286,1910195,4634653,4250742,5103241,1989254
20131127,318356727,82319932,27346188,5740692,0,17083956,0,56035917,6126648,61890117,9266703,19920705,17551887,1835495,5434724,3221222,3016224,1566317
20131128,294912229,53176405,34979104,5801765,150781,13658324,0,88225912,15541575,10776998,17710971,21119716,15078452,4246511,3443043,2750775,3970028,4281869
20131129,303866665,106301138,20078514,5624428,0,12549454,0,48124731,5646960,6549924,27886436,17297954,32030400,3893908,6717935,2143989,5705598,3315296
20131130,184138679,66534625,23679981,4704669,0,10754305,0,20944976,58882,3571420,10772769,11577176,13208308,1122247,8608872,3474566,2583165,2542718
20131201,249619519,48497410,24054759,16933145,0,13619751,0,61049908,5228033,3190798,12963782,31081665,13416813,5366021,3608726,4497771,3430456,2680481
20131202,380449793,101670154,19243660,11449620,0,20692731,0,61883516,14113271,39894418,35884924,27427190,25344664,5286070,5066227,6920919,3028971,2543458
20131203,365763711,73714781,23066123,16549655,0,20831296,0,117607174,10220406,15471796,21525743,20742919,30684304,2416264,3653878,3639757,3493399,2146216
20131204,242997796,59596228,19963174,11696616,0,16288384,0,37850362,8517716,2133240,15273364,37377828,15480569,3643952,1809874,6414961,4746599,2204929
20131205,352762514,93050080,35766591,14175922,0,15626256,0,76433591,7778454,18009600,22167828,28334696,18097741,6362841,4759844,5865510,3571357,2762203
20131206,275263750,68937713,29292792,9829082,50100,14672974,0,34767648,17663932,10854848,18984249,18197809,27617560,3621036,7981765,4588321,4851638,3352283
20131207,192923691,66863041,22003062,6359166,0,14789588,0,28250380,6485084,1951407,3702954,8679109,12117276,2903583,6304906,4437604,4871015,3205516
20131208,278667690,55912916,34209736,3110190,20000,17162098,0,85220518,12664499,5305784,14394695,14908986,19160894,2965864,4210146,1846112,5922319,1652933
20131209,468130433,118033449,30823513,9083719,500000,19972872,0,179719619,108443,11508580,41897310,5813698,32865067,4956831,5259694,2874019,2945048,1768571
20131210,366356952,81636255,40642534,7123494,10000,20666902,0,88091399,3289368,15169068,12932569,33018779,42944391,6676301,3470861,5256814,3199837,2228380
20131211,380303452,62377605,18334023,20181795,100,17598546,0,175541732,0,11362838,16336028,12373474,20775286,5647793,7973393,4198508,4575061,3027270
20131212,354021379,94118614,29104985,8721905,3640100,70402566,0,54763990,168897,14969263,16377125,24659621,18490877,4271267,3364234,5049334,3658523,2260078
20131213,249015731,74924112,37156343,4418540,3224500,16941440,0,18387996,11356247,11198595,6955950,15926652,29779082,3890707,5442525,2256474,4535918,2620650
20131214,263476998,54387291,18415906,11355897,30000,19533222,0,90030770,7169566,5143539,9627230,10718156,18725405,1995662,5613036,5288562,3183382,2259374
20131215,259867374,58565407,23035872,10868537,0,15678567,0,76059942,1011623,20986576,7424677,4736043,18735558,6775850,6726965,3851291,2492213,2918253
